wikipedia_title,wikidata_id,party_raw,party_group
A C Wharton,Q4655695,Democratic Party,Democrat
A. A. Adams,Q19360456,Democratic Party,Democrat
A. A. Ames,Q4647455,Republican Party of Minnesota,Republican
A. A. H. Tuttle,Q4647468,Republican Party,Republican
A. A. Johns,Q111451501,Democratic Party,Democrat
A. A. Townsend,Q17423811,Republican Party,Republican
A. A. Worsley,Q111452436,,Other
A. Andrew Torrence,Q20675747,Republican Party,Republican
A. Andrews,Q4647512,Republican Party of Minnesota,Republican
A. B. Colton,Q4647545,Republican Party,Republican
A. B. Comfort,Q19560274,Republican Party,Republican
A. B. Comstock,Q23073484,Republican Party,Republican
A. B. Dilworth,Q28747966,Mississippi Democratic Party,Democrat
A. B. Lull,Q19561290,,Other
A. B. Maguire,Q130442742,,Other
A. B. Philpott,Q133891224,,Other
A. B. Swindell,Q4647574,Democratic Party,Democrat
A. Barton Hepburn,Q4647584,Republican Party,Republican
A. Bleecker Banks,Q4647593,Democratic Party,Democrat
A. Burnet Stoney,Q4647573,,Other
A. C. Bartulis,Q29048863,Republican Party,Republican
A. C. Bearss,Q23582073,National Union Party,Other
A. C. Bonnell,Q4732736,,Other
A. C. Clemons,Q4647606,Republican Party,Republican
A. C. Croom,Q99670271,,Other
A. C. Crowder,Q105755764,,Other
A. C. De Yoe,Q16241315,,Other
A. C. Gibbs,Q353113,Republican Party,Republican
A. C. Hamlin,Q16058474,Republican Party,Republican
A. C. Schiffler,Q278598,Republican Party,Republican
A. Carter Wilder,Q318396,Republican Party,Republican
A. Carville Foster,Q4647635,Republican Party,Republican
A. Clifford Jones,Q18153725,Republican Party,Republican
A. Crozer Reeves,Q45248792,Republican Party,Republican
A. D. Duffey,Q16241481,Democratic Party,Democrat
A. D. Eldridge,Q24206436,Republican Party,Republican
A. D. Rice,Q4647677,,Other
A. D. Watts,Q4647681,Democratic Party,Democrat
A. Dayton Oliphant,Q25323640,Republican Party,Republican
A. DeWade Langley,Q4647693,,Other
A. Dean Jeffs,Q18349378,Republican Party,Republican
A. E. Henning,Q4647126,Republican Party,Republican
A. E. Lee,Q18907919,Republican Party,Republican
A. F. Hileman,Q16059692,,Other
A. F. Maciejewski,Q4647757,Democratic Party,Democrat
A. F. Vandeventer,Q19975354,Democratic Party,Democrat
A. Frank Lever,Q721456,Democratic Party,Democrat
A. Frederick Meyerson,Q18739769,Democratic Party,Democrat
A. G. Bainbridge,Q22017251,Republican Party,Republican
A. G. Crowe,Q4647777,Republican Party,Republican
A. G. Escandon,Q16241590,,Other
A. G. Lancione,Q4647791,Democratic Party,Democrat
A. G. Mathews,Q4647794,,Other
A. George Pradel,Q4647812,,Other
A. Gordon Boone,Q123420351,Democratic Party,Democrat
A. Gould Hatch,Q17509226,Republican Party,Republican
A. H. A. Williams,Q633209,Democratic Party,Democrat
A. H. F. Krueger,Q23615112,Democratic Party,Democrat
A. H. Favour,Q111451165,,Other
A. H. Greenhalgh,Q24962865,Democratic Party,Democrat
A. H. Kemper,Q15998525,Republican Party,Republican
A. H. Pape,Q23822741,Democratic Party,Democrat
A. H. Pettibone,Q770438,Republican Party,Republican
A. H. Weatherford,Q19605248,Democratic Party,Democrat
A. H. Wilkinson,Q26212440,Republican Party,Republican
A. H. Ziegler,Q19518381,,Other
A. Harry Moore,Q278701,Democratic Party,Democrat
A. Heaton Robertson,Q136555816,,Other
A. Herr Smith,Q4668901,Republican Party,Republican
A. Holly Patterson,Q4647861,Republican Party,Republican
A. Homer Byington,Q16043463,Republican Party,Republican
A. Hyatt Smith,Q4647865,Democratic Party,Democrat
A. I. Adams,Q19559898,Republican Party,Republican
A. I. Ferree,Q4647869,Republican Party,Republican
A. J. Clements,Q505360,Union,Other
A. J. DeMedio,Q4647909,Democratic Party,Democrat
A. J. Eddy,Q111451103,Democratic Party,Democrat
A. J. Gillbo,Q19360576,,Other
A. J. Hedding,Q20710240,Democratic Party,Democrat
A. J. McNamara,Q4647947,Republican Party,Republican
A. J. Mills (politician),Q19561569,Republican Party,Republican
A. J. Pardini,Q19360604,Republican Party,Republican
A. J. Russell,Q110564928,Democratic Party,Democrat
A. J. Ryan,Q116445904,Democratic Party,Democrat
A. J. Sampson,Q104423202,,Other
A. J. Spiker,Q4647979,Republican Party,Republican
A. J. Thomas Jr.,Q18631631,Democratic Party,Democrat
A. J. Thomas Sr.,Q121305588,Democratic Party,Democrat
A. James Manchin,Q4647998,Democratic Party,Democrat
A. Jeff McLemore,Q278833,Democratic Party,Democrat
A. Joe Canada Jr.,Q88463464,,Other
A. Joseph DeNucci,Q4648009,Democratic Party,Democrat
A. Joseph Valicenti,Q4648010,Democratic Party,Democrat
A. K. Clarke,Q19560247,,Other
A. K. Montgomery,Q95043818,,Other
A. Keith Bissell,Q4648050,Democratic Party,Democrat
A. L. Cronin,Q63226550,Democratic Party,Democrat
A. L. Freehafer,Q4648072,Democratic Party,Democrat
A. L. Philpott,Q4648082,Democratic Party,Democrat
A. L. Rasmussen,Q19360614,Democratic Party,Democrat
A. Lawrence Foster,Q4648096,Whig Party,Other
A. Lawrence Lowell,Q306766,Republican Party,Republican
A. LeRoy McCardell,Q134884861,,Other
A. Leonard Allen,Q278928,Democratic Party,Democrat
A. Leroy Aylmer,Q4648104,,Other
A. Lucille Matarese,Q26251768,Democratic Party,Democrat
A. M. Aikin Jr.,Q41634624,Democratic Party,Democrat
A. M. Fontana,Q117600278,Democratic Party,Democrat
A. M. Hicks,Q137723517,,Other
A. M. Starr,Q4648145,Republican Party,Republican
A. Max Brewer,Q126948923,Democratic Party,Democrat
A. Miles Pratt,Q4648183,,Other
A. Mitchell Palmer,Q1354363,Democratic Party,Democrat
A. Moore Jr.,Q117839901,Democratic Party,Democrat
A. Oakey Hall,Q4648216,Republican Party,Republican
A. P. Barrett,Q105545940,,Other
A. P. Lutali,Q2818903,Democratic Party,Democrat
A. P. Tugwell,Q4648242,Democratic Party,Democrat
A. Paul Kitchin,Q449203,Democratic Party,Democrat
A. Paul Kitchin Sr.,Q135441480,,Other
A. Pearce Tomkins,Q24579352,Republican Party,Republican
A. Pendleton Strother,Q97466133,,Other
A. Philip Randolph,Q720153,,Other
A. Piatt Andrew,Q331023,Republican Party,Republican
A. R. Barnes,Q28406295,,Other
A. R. Bridgers,Q123587082,Republican Party,Republican
A. R. Johnson,Q4647283,Democratic Party,Democrat
A. R. McCabe,Q4648295,Democratic Party,Democrat
A. R. Meek,Q61740623,,Other
A. R. Schwartz,Q4648313,Democratic Party,Democrat
A. R. Shaw,Q15993496,Republican Party,Republican
A. Ronald Button,Q16011852,Republican Party,Republican
A. S. Bush,Q19360480,Republican Party,Republican
A. S. Dowd,Q107555720,,Other
A. S. Ensworth,Q16241578,,Other
A. S. J. Carnahan,Q279153,Democratic Party,Democrat
A. S. J. Shaw,Q129906212,,Other
A. S. Priddy,Q115829186,Democratic Party,Democrat
A. S. Ruth,Q19360629,Republican Party,Republican
A. Scott Anderson,Q4648389,Democratic Party,Democrat
A. Scott Sloan,Q279174,Republican Party,Republican
A. Shane Massey,Q4648398,Republican Party,Republican
A. Sidney Camp,Q2638829,Democratic Party,Democrat
A. Spencer Feld,Q16011885,Democratic Party,Democrat
A. T. Kilcrease,Q111451557,Democratic Party,Democrat
A. T. McMaster,Q16745008,Republican Party,Republican
A. T. Sanders Jr.,Q18746338,Democratic Party,Democrat
A. T. Van de Vanter,Q19360667,Republican Party,Republican
A. U. Fuimaono,Q4648452,Democratic Party,Democrat
A. U. Wyman,Q16059102,,Other
A. V. Ragsdale,Q19604958,,Other
A. Van Leuven,Q16885406,,Other
A. Victor Thomas,Q28062615,Democratic Party,Democrat
A. Visanio Johnson,Q115697062,Democratic Party,Democrat
A. W. Barrett,Q4758807,,Other
A. W. Blair,Q30140354,,Other
A. W. Files,Q122683493,,Other
A. W. Tiffany,Q19605147,,Other
A. Walter Norblad,Q2545675,Republican Party,Republican
A. Warren Phelps,Q16863882,Democratic Party,Democrat
